period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2023-04,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1554.0,BYD BYD ATTO 3
2024-01,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,1494.0,BYD BYD SEAL EXD RWD
2023-08,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1482.0,BYD BYD ATTO 3
2022-03,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,1462.0,MG MG5
2025-06,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,1402.0,BYD BYD ATTO3 (410KM-PREMIUM)
2026-01,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,1384.0,BYD BYD ATTO3 (410KM-PREMIUM)
2024-01,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,1377.0,BYD BYD SEAL EXD AWD
2023-10,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1369.0,BYD BYD DOLPHIN STD
2023-09,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1355.0,BYD BYD DOLPHIN STD
2025-07,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,1335.0,MG MG4 ELECTRIC
2023-09,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1333.0,BYD BYD ATTO 3
2025-05,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,1331.0,BYD BYD DOLPHIN (435KM-STD)
2024-01,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1328.0,BYD BYD ATTO 3
2024-08,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1316.0,BYD BYD DOLPHIN STD
2024-07,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1280.0,BYD BYD DOLPHIN STD
2026-01,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,1255.0,AION AION V 602 LUXURY
2023-02,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,1254.0,NETA NETA V
2023-08,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,1251.0,NETA NETA V
2025-08,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,1246.0,MG MG4 ELECTRIC
2023-10,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1238.0,BYD BYD ATTO 3
2023-07,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,1234.0,NETA NETA V
2025-06,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,1211.0,MG MG4 ELECTRIC
2025-01,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,1185.0,BYD BYD DOLPHIN (435KM-STD)
2025-01,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,1167.0,DEEPAL S07
2023-07,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1165.0,BYD BYD ATTO 3
2022-03,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,1161.0,MG ZS
2022-06,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,1141.0,MG MG5
2023-11,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,1134.0,NETA NETA V
2025-01,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,1131.0,BYD BYD SEALION 7 RWD
2025-05,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,1131.0,BYD BYD SEALION 6 DM-i PREMIUM
2023-11,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1120.0,BYD BYD DOLPHIN EXD
2025-01,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,1113.0,MG MG4 ELECTRIC
2024-11,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,1100.0,BYD BYD DOLPHIN (435KM-STD)
2023-11,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1049.0,BYD BYD ATTO 3
2023-10,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1044.0,BYD BYD DOLPHIN EXD
2022-02,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,1023.0,MG MG5
2022-05,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,1009.0,MG MG5
2024-01,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,1006.0,MG MG4 ELECTRIC
2025-03,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,987.0,BYD BYD SEALION 6 DM-i PREMIUM
2024-01,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,974.0,BYD BYD DOLPHIN EXD
2023-06,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,959.0,ORA GOOD CAT
2023-10,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,951.0,NETA NETA V
2022-01,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,948.0,MG MG5
2023-02,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,939.0,MG MG5
2022-09,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,919.0,MG MG5
2022-02,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,916.0,MG ZS
2022-08,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,915.0,MG MG5
2025-09,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,915.0,MG MG4 ELECTRIC
2025-05,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,912.0,MG MG4 ELECTRIC
2023-01,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,911.0,BYD BYD ATTO 3
2022-01,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,909.0,MG ZS
2022-04,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,907.0,MG MG5
2025-10,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,890.0,MG MG4 ELECTRIC
2026-01,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,883.0,GWM GWM TANK 300
2023-09,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,854.0,NETA NETA V
2025-09,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,853.0,GWM GWM TANK 300
2025-07,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,852.0,BYD BYD ATTO3 (410KM-PREMIUM)
2025-07,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,850.0,BYD BYD DOLPHIN (435KM-STD)
2025-12,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,850.0,MG MG4 ELECTRIC
2023-05,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,833.0,MG MG5
2023-01,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,832.0,MG MG5
2026-01,RY1,BYD,Dolphin,Dolphin,490KM-EXT,EXT,,490.0,,,B,HATCHBACK,VOLUME,BEV,MASS,830.0,BYD BYD DOLPHIN (490KM-EXT)
2023-03,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,823.0,MG MG5
2025-05,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,823.0,BYD BYD SEALION 7 AWD
2023-06,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,814.0,MG MG5
2026-01,RY1,Aion,Aion UT,Aion UT,420 STANDARD,STANDARD,,420.0,,,B,HATCHBACK,MIXED,BEV,MASS,809.0,AION AION UT 420 STANDARD
2025-10,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,802.0,GWM GWM TANK 300
2023-11,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,790.0,ORA GOOD CAT
2023-11,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,778.0,MG MG4 ELECTRIC
2025-12,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,764.0,BYD BYD DOLPHIN (435KM-STD)
2022-05,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,759.0,MG ZS
2025-12,RY1,Aion,Aion UT,Aion UT,420 STANDARD,STANDARD,,420.0,,,B,HATCHBACK,MIXED,BEV,MASS,755.0,AION AION UT 420 STANDARD
2024-04,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,754.0,DEEPAL S07
2025-05,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,754.0,AION AION V 602 LUXURY
2022-06,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,743.0,MG ZS
2022-07,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,743.0,MG MG5
2022-04,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,741.0,MG ZS
2025-09,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,739.0,BYD BYD DOLPHIN (435KM-STD)
2024-08,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,730.0,BYD BYD DOLPHIN EXD
2025-08,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,723.0,GWM GWM TANK 300
2025-07,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,721.0,GWM GWM TANK 300
2025-08,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,712.0,BYD BYD DOLPHIN (435KM-STD)
2024-12,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,711.0,BYD BYD DOLPHIN (435KM-STD)
2026-01,RY1,Aion,Aion UT,Aion UT,500 PREMIUM,PREMIUM,,500.0,,,B,HATCHBACK,MIXED,BEV,MASS,709.0,AION AION UT 500 PREMIUM
2024-01,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,708.0,MG MG5
2024-06,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,703.0,DEEPAL S07
2026-01,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,702.0,BYD BYD SEALION 7 RWD
2025-12,RY1,MG,MG S5 EV,MG S5 EV,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,699.0,MG S5 EV
2023-03,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,693.0,NETA NETA V
2025-03,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,688.0,MG MG4 ELECTRIC
2023-05,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,686.0,NETA NETA V
2025-03,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,681.0,BYD BYD DOLPHIN (435KM-STD)
2025-11,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,681.0,GWM GWM TANK 300
2024-08,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,679.0,BYD BYD ATTO 3
2022-11,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,677.0,MG MG5
2022-10,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,670.0,MG MG5
2025-11,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,659.0,MG MG4 ELECTRIC
2023-07,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,655.0,MG MG5
2024-05,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,653.0,BYD BYD DOLPHIN STD
2023-09,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,650.0,ORA GOOD CAT
2025-04,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,647.0,BYD BYD SEALION 7 AWD
2023-08,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,646.0,MG MG5
2025-09,RY1,Deepal,Deepal S05,Deepal S05,MAX,MAX,,,,,B,CROSSOVER,VOLUME,MIXED,MASS,645.0,DEEPAL S05 MAX
2023-07,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,643.0,ORA GOOD CAT
2023-10,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,641.0,ORA GOOD CAT
2025-10,RY1,Aion,Aion UT,Aion UT,420 STANDARD,STANDARD,,420.0,,,B,HATCHBACK,MIXED,BEV,MASS,640.0,AION AION UT 420 STANDARD
2025-10,RY1,Deepal,Deepal S05,Deepal S05,MAX,MAX,,,,,B,CROSSOVER,VOLUME,MIXED,MASS,640.0,DEEPAL S05 MAX
2025-12,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,640.0,BYD BYD ATTO3 (480KM-EXT)
2025-05,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,634.0,TESLA MODEL Y LONG RANGE
2024-05,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,633.0,DEEPAL S07
2025-01,RY1,Denza,Denza D9,Denza D9,FWD,,FWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,633.0,DENZA DENZA D9 FWD
2025-09,RY1,Aion,Aion UT,Aion UT,420 STANDARD,STANDARD,,420.0,,,B,HATCHBACK,MIXED,BEV,MASS,629.0,AION AION UT 420 STANDARD
2022-09,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,628.0,MG ZS
2025-11,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,628.0,BYD BYD DOLPHIN (435KM-STD)
2025-01,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,626.0,BYD BYD SEALION 7 AWD
2024-05,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,623.0,MG MG4 ELECTRIC
2025-04,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,619.0,MG MG4 ELECTRIC
2026-01,RY1,Deepal,Deepal S07,Deepal S07,L,,,,,,C,CROSSOVER,UPPER,BEV,MASS,614.0,DEEPAL S07 L
2022-08,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,612.0,MG ZS
2024-02,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,606.0,MG MG5
2024-07,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,604.0,MG MG4 ELECTRIC
2025-03,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,604.0,AION AION V 602 LUXURY
2023-04,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,601.0,MG MG5
2025-09,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,600.0,BYD BYD ATTO3 (410KM-PREMIUM)
2023-08,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,598.0,ORA GOOD CAT
2023-03,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,596.0,TESLA MODEL Y LONG RANGE
2022-09,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,591.0,ORA GOOD CAT
2024-06,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,587.0,AION AION Y PLUS
2024-06,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,585.0,BYD BYD DOLPHIN STD
2025-05,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,584.0,ORA GOOD CAT
2025-07,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,583.0,ORA GOOD CAT
2023-09,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,582.0,MG MG5
2023-11,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,580.0,MG MG5
2025-12,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,580.0,ORA GOOD CAT
2024-03,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,576.0,NETA NETA V
2025-07,RY1,MG,MG S5 EV,MG S5 EV,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,574.0,MG S5 EV
2022-12,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,572.0,MG MG5
2023-12,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,572.0,MG MG5
2025-02,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,572.0,BYD BYD DOLPHIN (435KM-STD)
2025-06,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,572.0,BYD BYD SEALION 7 RWD
2024-10,RY1,Neta,Neta X,Neta X,,,,,,,B,CROSSOVER,VOLUME,BEV,BUDGET,570.0,NETA NETA X
2024-05,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,569.0,BYD BYD ATTO 3
2024-10,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,568.0,BYD BYD DOLPHIN (435KM-STD)
2025-01,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,566.0,NETA NETA V-II
2022-07,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,565.0,MG ZS
2023-04,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,564.0,NETA NETA V
2025-05,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,557.0,BYD BYD SEALION 7 RWD
2025-06,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,556.0,BYD BYD SEALION 6 DM-i PREMIUM
2023-01,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,555.0,NETA NETA V
2023-10,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,553.0,MG MG4 ELECTRIC
2024-07,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,553.0,BYD BYD DOLPHIN EXD
2025-06,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,552.0,BYD BYD SEALION 7 AWD
2025-10,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,547.0,ORA GOOD CAT
2026-01,RY1,Chery,Chery V23,Chery V23,2WD PLUS,PLUS,2WD,,,,B,SUV,VOLUME,BEV,MASS,546.0,CHERY V23 2WD PLUS
2023-10,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,546.0,MG EP
2025-04,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,544.0,BYD BYD DOLPHIN (435KM-STD)
2025-06,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,539.0,BYD BYD ATTO3 (480KM-EXT)
2026-01,RY1,Aion,Hyptec HT,Hyptec HT,620 PREMIUM,PREMIUM,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,535.0,AION HYPTEC HT 620 PREMIUM
2026-01,RY1,Chery,Chery V23,Chery V23,4WD PEAK,PEAK,4WD,,,,B,SUV,VOLUME,BEV,MASS,534.0,CHERY V23 4WD PEAK
2026-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD PRO,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,531.0,JAECOO 6 EV Long Range 2WD PRO
